sample_ID	campaign	station	event	date_time	latitude	longitude	depth	sample_method	biome	ocean_region	biogeographic_province	size_fraction	depth_nominal	temperature	SST	SST_grad	O2	NO3	NO2	NO3NO2	PO43	SiOH4	Fe	NH4	ChlA	ChlA_fluo	fluorescence	PAR	NPP_C_mean8days	POC	PIC	SSD	bathymetry	coast_distance	Okubo_Weiss	Lyapunov	residence_time	age	salinity	angular_scattering_coef	optical_backscattering_coef	particle_backscattering_coef	optical_attenuation_coef	particle_optical_attenuation_coef	depth_mix_layer	depth_ChlA_max	depth_max_Brunt	depth_max_O2	depth_min_O2	depth_nitracline
TARA_N000000539	TARA_20100624Z	TARA_064	NET	2010-07-07T05:17	-29.5018	37.9887	SRF	SEQ-(500mL-or-15min)_N180-2000	Coastal Biome	IO	Eastern Africa Coastal Province	180-2000	5	22.1656	22.07094475	0.24112	210	0.074760764	0.030657471	0	0.08	1.77	0.00080341	0.010198253	0.05	21.9223	1.13587	27.096249	489.85775	68.1662216186523	0.000153173044964205	620	-4938	550.5186	0.676958	0.119044	0	120	35.335	0.000439	-0.000069	0.001378	NA	NA	71	52	160.833	608.5	562	424.333
TARA_N000000544	TARA_20100523Z	TARA_054	PUMP	2010-05-26T10:15	-12.807	45.2247	SRF	SEQ-(100L-or-15min)_W0.8-5	Coastal Biome	IO	Eastern Africa Coastal Province	0.8-5	5	29.312	29.43381775	NA	189.9	0.016038789	0.003029095	0	0	2.61	0.001068275	0.011802378	0.03	3.5957	NA	32.417336	NA	113.000007629395	0.00114800001028925	687	51	0.91375	0.903902	0.080656	5.666667	0	34.964	0.000666	0.000147	0.002953	0.0857	0.107841	16	23	11	7.5	22	NA
TARA_N000000562	TARA_20100523Z	TARA_054	PUMP	2010-05-26T10:15	-12.807	45.2247	SRF	SEQ-(500mL-or-15min)_W5-20	Coastal Biome	IO	Eastern Africa Coastal Province	5-20	5	29.312	29.43381775	NA	189.9	0.016038789	0.003029095	0	0	2.61	0.001068275	0.011802378	0.03	3.5957	NA	32.417336	NA	113.000007629395	0.00114800001028925	687	51	0.91375	0.903902	0.080656	5.666667	0	34.964	0.000666	0.000147	0.002953	0.0857	0.107841	16	23	11	7.5	22	NA
TARA_N000000570	TARA_20100515Z	TARA_052	NET	2010-05-17T05:45	-16.9616	53.9541	SRF	SEQ-(500mL-or-15min)_N5-20	Trades Biome	IO	Indian South Subtropical Gyre Province	5-20	5	27.9333	28.04713975	0.20159	191.9	0.006946565	0.005936726	0	0.12	2.67	0.001048266	0.01050256	0.06	28.749	0.79622	41.145798	122.80175	39.1006126403809	0.000139623687573476	678	-4688	409.6259	0.274476	0.074677	2.138889	106	34.56	0.000369	-0.000152	0.000904	0.0221	0.047707	47	71	69	333	441	147.5
TARA_N000000581	TARA_20100515Z	TARA_052	NET	2010-05-17T04:10	-16.9567	53.9809	SRF	SEQ-(500mL-or-15min)_N180-2000	Trades Biome	IO	Indian South Subtropical Gyre Province	180-2000	5	27.8684	28.04713975	0.20159	191.7	0.006946565	0.005936726	0	0.12	2.67	0.001048266	0.01050256	0.06	28.749	0.79622	41.145798	122.80175	39.5986328125	0.000134890855406411	678	-4688	409.6259	0.274476	0.074677	2.138889	106	34.567	0.00037	-0.000151	0.000911	0.0205	0.04609	47	71	69	333	441	147.5
TARA_N000000585	TARA_20100515Z	TARA_052	NET	2010-05-17T10:05	-16.9538	54.0043	DCM	SEQ-(500mL-or-15min)_N180-2000	Trades Biome	IO	Indian South Subtropical Gyre Province	180-2000	75	24.9962	28.10844325	0.18513	193.5	0.006946565	0.005936726	0.5	0.18	3.22	0.001048266	0.01050256	0.18	34.3624	0.79292	41.145798	122.80175	39.5986328125	0.000134890855406411	678	-4666	411.6704	0.274476	0.074677	2.138889	106	34.896	0.000396	-0.000125	0.001089	0.0283	0.053882	47	71	69	333	441	147.5
TARA_N000000589	TARA_20100515Z	TARA_052	NET	2010-05-17T06:48	-16.9672	53.9337	SRF	SEQ-(500mL-or-15min)_N20-180	Trades Biome	IO	Indian South Subtropical Gyre Province	20-180	5	27.8684	28.04713975	0.20159	191.7	0.006946565	0.005936726	0	0.12	2.67	0.001048266	0.01050256	0.06	28.749	0.79622	41.038998	122.80175	41.5346984863281	0.000162967451615259	678	-4688	409.6259	0.274476	0.074677	2.138889	106	34.567	0.00037	-0.000151	0.000911	0.0205	0.04609	47	71	69	333	441	147.5
TARA_N000000593	TARA_20100515Z	TARA_052	NET	2010-05-17T10:50	-16.953	53.9825	DCM	SEQ-(500mL-or-15min)_N20-180	Trades Biome	IO	Indian South Subtropical Gyre Province	20-180	70	24.9246	28.04713975	0.18513	193.2	0.006946565	0.005936726	0.5	0.18	3.22	0.001048266	0.01050256	0.17	34.3624	0.79292	41.145798	122.80175	39.5986328125	0.000134890855406411	678	-4666	411.6704	0.274476	0.074677	2.138889	106	34.9	0.00039	-0.000131	0.001049	0.0279	0.05346	47	71	69	333	441	147.5
TARA_N000000596	TARA_20100515Z	TARA_052	PUMP	2010-05-17T11:42	-16.9534	53.9601	DCM	SEQ-(500mL-or-15min)_W5-20	Trades Biome	IO	Indian South Subtropical Gyre Province	5-20	75	24.8943	28.04713975	0.18796	192.6	0.006946565	0.005936726	0.5	0.18	3.22	0.001048266	0.01050256	0.18	38.1381	0.79292	41.145798	122.80175	39.1006126403809	0.000139623687573476	678	-4657	412.5201	0.274476	0.074677	2.138889	106	34.911	0.000379	-0.000142	0.000973	0.0293	0.054885	47	71	69	333	441	147.5
TARA_N000000598	TARA_20100515Z	TARA_052	PUMP	2010-05-17T04:10	-16.957	53.9801	SRF	SEQ-(100L-or-15min)_W0.8-5	Trades Biome	IO	Indian South Subtropical Gyre Province	0.8-5	5	27.8684	28.04713975	0.20159	191.7	0.006946565	0.005936726	0	0.12	2.67	0.001048266	0.01050256	0.06	28.749	0.79622	41.145798	122.80175	39.5986328125	0.000134890855406411	678	-4688	409.6259	0.274476	0.074677	2.138889	106	34.567	0.00037	-0.000151	0.000911	0.0205	0.04609	47	71	69	333	441	147.5
